No,Type,Region,"City,Town,Ward,Village code","City,Town,Ward,Village",Area,Nearest station_Name,Nearest station_Distance(minute),Transaction-price(total),Layout,Area(m^2),Transaction-price(Unit price m^2),Land shape,Year of construction,Building structure,Use,Purpose of Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transactional factors
1,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,4,40000000,1LDK,30.0,1.33,,2013,RC,House,House,Commercial Zone,80.0,500.0,3rd quarter 2019,Not yet,
2,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,4,130000000,3LDK,80.0,1.62,,2007,RC,,Other,Commercial Zone,80.0,500.0,3rd quarter 2019,Done,
3,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,3,36000000,1LDK,35.0,1.03,,1985,SRC,House,House,Commercial Zone,80.0,700.0,3rd quarter 2019,Done,
4,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iidabashi,Iidabashi,2,400000000,,110.0,3.64,Trapezoidal Shaped,2018,S,"Office, Shop",Shop,Commercial Zone,80.0,500.0,2nd quarter 2019,,
5,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iidabashi,Iidabashi,1,180000000,,50.0,3.6,Rectangular Shaped,1976,RC,"Housing Complex, Office",,Commercial Zone,80.0,700.0,2nd quarter 2019,,
6,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,4,100000000,2LDK,65.0,1.54,,2007,RC,House,House,Commercial Zone,80.0,500.0,2nd quarter 2019,Done,
7,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iidabashi,Iidabashi,,120000000,,65.0,1.85,Semi-rectangular Shaped,1970,S,"House, Office, Workshop",Office,Commercial Zone,80.0,700.0,1st quarter 2019,,
8,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,4,24000000,1K,20.0,1.2,,1997,SRC,House,House,Commercial Zone,80.0,500.0,3rd quarter 2019,Done,
9,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,4,63000000,1LDK,50.0,1.26,,2003,RC,,House,Commercial Zone,80.0,500.0,3rd quarter 2019,Not yet,
10,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iidabashi,Kudanshita,5,420000000,,95.0,4.42,Rectangular Shaped,1990,S,"Office, Shop",Office,Commercial Zone,80.0,700.0,2nd quarter 2019,,
11,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,4,98000000,2LDK,65.0,1.51,,2003,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2019,Done,
12,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Kojimachi,3,58000000,1LDK,40.0,1.45,,2012,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,
13,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,1,90000000,2LDK,75.0,1.2,,1970,SRC,House,House,Category II Residential Zone,60.0,400.0,4th quarter 2019,Done,
14,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,2,90000000,2LDK,75.0,1.2,,1972,SRC,House,House,Category II Residential Zone,60.0,400.0,4th quarter 2019,Done,
15,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,2,120000000,2LDK,80.0,1.5,,2010,RC,House,House,Commercial Zone,80.0,500.0,3rd quarter 2019,Not yet,
16,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,1,32000000,1K,25.0,1.28,,2013,RC,House,House,Commercial Zone,80.0,500.0,2nd quarter 2019,Not yet,
17,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,1,29000000,1DK,25.0,1.16,,2013,RC,House,House,Commercial Zone,80.0,500.0,2nd quarter 2019,Not yet,
19,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,3,120000000,2LDK,70.0,1.71,,2004,SRC,House,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,
20,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,1,35000000,1K,25.0,1.4,,2013,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,
21,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,1,100000000,3LDK,95.0,1.05,,1984,SRC,,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
22,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,170000000,,75.0,2.27,Semi-rectangular Shaped,1963,RC,Office,Office,Commercial Zone,80.0,600.0,4th quarter 2019,,
23,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,500000000,,120.0,4.17,Irregular Shaped,1973,SRC,"Office, Shop",Office,Commercial Zone,80.0,700.0,4th quarter 2019,,
24,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,130000000,,95.0,1.37,Irregular Shaped,1973,S,"Parking Lot, Other",Warehouse,Commercial Zone,80.0,600.0,4th quarter 2019,,
25,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,39000000,1LDK,35.0,1.11,,2007,RC,House,House,Commercial Zone,80.0,700.0,4th quarter 2019,Not yet,
26,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,43000000,1LDK,40.0,1.08,,2015,RC,,House,Commercial Zone,80.0,600.0,4th quarter 2019,Not yet,
27,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,26000000,1K,20.0,1.3,,2004,SRC,House,House,Commercial Zone,80.0,800.0,4th quarter 2019,Not yet,
28,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,30000000,1DK,25.0,1.2,,2006,SRC,,House,Commercial Zone,80.0,600.0,4th quarter 2019,Not yet,
29,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,24000000,1K,20.0,1.2,,2004,SRC,House,House,Commercial Zone,80.0,800.0,3rd quarter 2019,Not yet,
30,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,29000000,1K,25.0,1.16,,2002,RC,,House,Commercial Zone,80.0,500.0,3rd quarter 2019,Not yet,
31,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,20000000,1K,20.0,1.0,,2003,SRC,,House,Commercial Zone,80.0,800.0,3rd quarter 2019,Not yet,
32,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,26000000,1K,20.0,1.3,,2006,SRC,House,House,Commercial Zone,80.0,700.0,3rd quarter 2019,Done,
33,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,28000000,1K,20.0,1.4,,2006,SRC,,Other,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
34,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,25000000,1K,25.0,1.0,,2006,RC,House,Other,Commercial Zone,80.0,500.0,3rd quarter 2019,Not yet,
35,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,40000000,1LDK,30.0,1.33,,2016,RC,House,House,Commercial Zone,80.0,800.0,3rd quarter 2019,Not yet,
36,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,33000000,1K,30.0,1.1,,2013,RC,House,,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
37,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,29000000,1K,20.0,1.45,,2006,SRC,House,House,Commercial Zone,80.0,700.0,2nd quarter 2019,Done,
38,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,1,24000000,1K,20.0,1.2,,2004,SRC,House,House,Commercial Zone,80.0,700.0,2nd quarter 2019,Not yet,
39,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,17000000,1K,25.0,0.68,,2006,RC,House,,Commercial Zone,80.0,500.0,2nd quarter 2019,Not yet,
40,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,25000000,1K,20.0,1.25,,2006,SRC,,House,Commercial Zone,80.0,700.0,1st quarter 2019,Not yet,
41,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,1,24000000,1K,20.0,1.2,,2004,SRC,,House,Commercial Zone,80.0,700.0,1st quarter 2019,Done,
42,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,37000000,1LDK,30.0,1.23,,,,,Other,,,,1st quarter 2019,Not yet,
43,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kanda (Tokyo),6,27000000,1K,25.0,1.08,,2014,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
44,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,32000000,,30.0,1.07,,2009,RC,,House,Commercial Zone,80.0,600.0,4th quarter 2019,,
45,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,28000000,1K,25.0,1.12,,2009,RC,,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
46,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,39000000,1LDK,35.0,1.11,,2009,RC,,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
47,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,3,27000000,Open Floor,75.0,0.36,,1978,SRC,Shop,Shop,Commercial Zone,80.0,700.0,3rd quarter 2019,Not yet,
48,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,29000000,,25.0,1.16,,2009,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
49,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,30000000,,25.0,1.2,,2009,RC,,House,Commercial Zone,80.0,600.0,3rd quarter 2019,,
50,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,170000000,,105.0,1.62,Rectangular Shaped,1951,W,Warehouse,,Commercial Zone,80.0,700.0,2nd quarter 2019,,
51,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,5,32000000,1K,25.0,1.28,,2008,RC,,House,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
52,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,32000000,,30.0,1.07,,2009,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
53,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,31000000,,30.0,1.03,,2009,RC,,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
54,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,6,62000000,2LDK,55.0,1.13,,2012,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
55,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,2,410000000,,120.0,3.42,Semi-rectangular Shaped,1985,RC,Office,Office,Commercial Zone,80.0,600.0,1st quarter 2019,,
56,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Shinnihonbashi,4,24000000,1K,20.0,1.2,,2003,RC,House,House,Commercial Zone,80.0,800.0,4th quarter 2019,Not yet,
57,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakurocho,5,21000000,1K,20.0,1.05,,2002,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
58,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakurocho,5,23000000,1K,20.0,1.15,,2002,RC,,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
59,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakurocho,5,24000000,1K,20.0,1.2,,2002,RC,,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
60,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakuroyokoyama,4,21000000,1K,25.0,0.84,,2002,RC,House,House,Commercial Zone,80.0,600.0,4th quarter 2019,,
61,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),5,82000000,2LDK,50.0,1.64,,2019,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
63,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),4,600000000,,165.0,3.64,Semi-rectangular Shaped,1992,RC,Office,House,Commercial Zone,80.0,800.0,1st quarter 2019,,Dealings of adjacent land
64,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),4,180000000,,50.0,3.6,Semi-rectangular Shaped,1973,RC,Office,House,Commercial Zone,80.0,800.0,1st quarter 2019,,Dealings of adjacent land
66,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),4,300000000,,75.0,4.0,Semi-rectangular Shaped,1975,RC,"Office, Shop",House,Commercial Zone,80.0,800.0,1st quarter 2019,,Dealings of adjacent land
67,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),3,150000000,,85.0,1.76,Semi-rectangular Shaped,1960,RC,House,House,Commercial Zone,80.0,800.0,1st quarter 2019,,Dealings of adjacent land
69,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),3,170000000,,95.0,1.79,Semi-rectangular Shaped,1970,RC,Office,House,Commercial Zone,80.0,800.0,1st quarter 2019,,Dealings of adjacent land
70,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),5,140000000,,75.0,1.87,Semi-rectangular Shaped,1975,RC,"House, Office, Shop",House,Commercial Zone,80.0,600.0,1st quarter 2019,,Dealings of adjacent land
71,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),5,70000000,2LDK,50.0,1.4,,2013,RC,,House,Commercial Zone,80.0,800.0,1st quarter 2019,,
72,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,250000000,,210.0,1.19,Irregular Shaped,1987,S,Office,Office,Commercial Zone,80.0,600.0,4th quarter 2019,,
73,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),1,370000000,,110.0,3.36,Semi-rectangular Shaped,1983,RC,Shop,Shop,Commercial Zone,80.0,600.0,4th quarter 2019,,
74,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,25000000,1K,20.0,1.25,,2005,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
75,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,25000000,1K,20.0,1.25,,2005,RC,,Other,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
76,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),3,24000000,1K,20.0,1.2,,2005,RC,House,House,Commercial Zone,80.0,800.0,3rd quarter 2019,,
77,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,24000000,1K,20.0,1.2,,2005,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
78,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,23000000,1K,20.0,1.15,,2005,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
79,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,24000000,1K,20.0,1.2,,2005,RC,,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
80,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),6,15000000,1K,15.0,1.0,,1979,SRC,Office,Office,Commercial Zone,80.0,700.0,2nd quarter 2019,Done,
81,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,25000000,1K,20.0,1.25,,2005,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
82,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),1,740000000,,135.0,5.48,Irregular Shaped,,,,Other,Commercial Zone,80.0,600.0,1st quarter 2019,,
83,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,23000000,,20.0,1.15,,2005,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,,
