"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
1,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iidabashi","Iidabashi","3",130000000,"1LDK","60",,"","","","2021","RC","House","House","","",,"Category II Residential Zone",60,400,"2nd quarter 2023","Not yet",""
2,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iidabashi","Iidabashi","3",150000000,"2LDK","60",,"","","","2021","RC","House","House","","",,"Category II Residential Zone",60,400,"2nd quarter 2023","Not yet",""
3,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iidabashi","Kudanshita","4",95000000,"","60",,"","","","2003","RC","","","","",,"Commercial Zone",80,500,"2nd quarter 2023","",""
4,"Residential Land(Land Only)","Commercial Area","13101","Tokyo","Chiyoda Ward","Iidabashi","Kudanshita","4",780000000,"","160",4900000,"Irregular Shaped","4.0","","","","","House","South","Ward Road",10.9,"Commercial Zone",80,600,"1st quarter 2023","",""
5,"Residential Land(Land Only)","Commercial Area","13101","Tokyo","Chiyoda Ward","Iidabashi","Kudanshita","4",380000000,"","65",6000000,"Rectangular Shaped","6.5","","","","","House","East","Ward Road",11.0,"Commercial Zone",80,500,"1st quarter 2023","",""
6,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iidabashi","Kudanshita","4",130000000,"2LDK","65",,"","","","2003","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
7,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","2",70000000,"2LDK","55",,"","","","1977","RC","House","House","","",,"Category II Residential Zone",80,500,"2nd quarter 2023","Not yet",""
8,"Residential Land(Land and Building)","Residential Area","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","3",300000000,"","70",,"Semi-trapezoidal Shaped","7.2","50","1959","W","House","Other","Southwest","Ward Road",10.9,"Category II Residential Zone",60,400,"1st quarter 2023","",""
9,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","3",190000000,"2LDK","70",,"","","","2022","RC","House","House","","",,"Category II Residential Zone",80,500,"1st quarter 2023","Not yet",""
10,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","5",350000000,"3LDK","200",,"","","","1984","SRC","House","House","","",,"Category II Residential Zone",60,400,"1st quarter 2023","Not yet",""
11,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","4",1500000000,"","270",,"Irregular Shaped","5.0","1600","1974","SRC","House, Office","Other","West","National Road",44.0,"Commercial Zone",80,800,"2nd quarter 2023","",""
12,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","4",27000000,"1K+S","35",,"","","","2000","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","",""
13,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","3",320000000,"","105",,"Semi-trapezoidal Shaped","7.9","460","1992","RC","Office","Office","East","Ward Road",8.0,"Commercial Zone",80,600,"1st quarter 2023","",""
